Organisation,Name,,,,Address,Country,Phone1,Fax
Red Hat,Brisbane-N.Quay,193 North Quay,Levels 1 and 4,Brisbane 4000 QLD,"193 North Quay, Levels 1 and 4, Brisbane 4000 QLD",Australia, +61 7 3514 8100, +61 7 3514 8199
Red Hat,Canberra,"Level 5, Tower A",7 London Circuit,Canberra 2600,"Level 5, Tower A, 7 London Circuit, Canberra 2600",Australia, +61 2 6169 4000,
Red Hat,Melbourne,455 Bourke Street,Level 5,Melbourne 3000 VIC,"455 Bourke Street, Level 5, Melbourne 3000 VIC",Australia, +61 3 9624 8100, +61 3 9624 8199
Red Hat,Sydney,Northpoint 100 Miller Street,"Level 35, Suite 3503",North Sydney 2060 NSW,"Northpoint 100 Miller Street, Level 35, Suite 3503, North Sydney 2060 NSW",Australia, +61 2 8923 2800, +61 2 8923 2899
Red Hat,Stuttgart,Wankelstrasse 1-5,STEP,Stuttgart,"Wankelstrasse 1-5, STEP, Stuttgart",Germany, +49 711 964 370, +49 711 964 37 111
Red Hat,London,64 Baker Street,4th Floor,London,"64 Baker Street, 4th Floor, London",United Kingdom, +44 20 7009 4444, +44 20 7009 4445
Red Hat,Oslo,C.J. Hambros Plass 2c,1st Floor,Oslo 0164,"C.J. Hambros Plass 2c, 1st Floor, Oslo 0164",Norway, +47 22 99 60 27, +47 22 99 60 00
Red Hat,Cork,6700 Cork Airport Business Park,Phase II 1st Floor,Cork,"6700 Cork Airport Business Park, Phase II 1st Floor, Cork",Ireland, +353 21 2303400, +353 21 2303400
Red Hat,Stockholm,Kista Science Tower,SE-164 51 Solna,Stockholm,"Kista Science Tower, SE-164 51 Solna, Stockholm",Sweden, +46 8 50 57 56 00, +46 8 50 57 56 49
Red Hat,Frankfurt,"MesseTurm, 11th floor",Frankfurt am Main 60308,,"MesseTurm, 11th floor, Frankfurt am Main 60308, ",Germany, +49 69 365051 000, +49 69 365051 001
Red Hat,Zürich,Red Hat (Switzerland),Europaallee 41,8021 Zürich,"Red Hat (Switzerland), Europaallee 41, 8021 Zürich",Switzerland, +41 44 214 60 12,
Red Hat,Milan,Via Fara 26,4th Floor,Milano,"Via Fara 26, 4th Floor, Milano",Italy, +39 02 360 47601, +39 02 669 3111
Red Hat,Rome,Via Andrea Doria 41 M,"Buidling A, 4th floor",Rome,"Via Andrea Doria 41 M, Buidling A, 4th floor, Rome",Italy, +39 06 8750 2300,
Red Hat,Finland,Keilaranta 14,Espoo 02150,,"Keilaranta 14, Espoo 02150, ",Finland, +358 9 2510 7800, +358 9 2510 7100
Red Hat,Warsaw,Red Hat Poland sp.ZOO,Sheraton Plaza UL Prusa 2,Warsaw 00-493,"Red Hat Poland sp.ZOO, Sheraton Plaza UL Prusa 2, Warsaw 00-493",Poland, +22 657 00 00, +22 657 01 11
